pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
65.55,-77.85,0.0,top,C1,,,CP_Elec_10x10,470uF,smt
61.020177,-138.106666,180.0,top,C10,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1uF,smt
78.020177,-138.106666,180.0,top,C11,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1uF,smt
95.020177,-138.106666,180.0,top,C12,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1uF,smt
112.020177,-138.106666,180.0,top,C13,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1uF,smt
129.020177,-138.106666,180.0,top,C14,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1uF,smt
61.595177,-141.693333,180.0,top,C15,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,.1uF,smt
78.595177,-141.693333,180.0,top,C16,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,.1uF,smt
95.595177,-141.693333,180.0,top,C17,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,.1uF,smt
112.595177,-141.693333,180.0,top,C18,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,.1uF,smt
129.595177,-141.693333,180.0,top,C19,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,.1uF,smt
65.56,-90.35,0.0,top,C2,,,CP_Elec_10x10,470uF,smt
55.930579,-94.596224,180.0,top,C3,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1uF,smt
132.9375,-63.4,180.0,top,C4,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,220nF,smt
59.920177,-130.0,180.0,top,C5,,,CP_Elec_10x10,470uF,smt
76.920177,-130.0,180.0,top,C6,,,CP_Elec_10x10,470uF,smt
93.920177,-130.0,180.0,top,C7,,,CP_Elec_10x10,470uF,smt
110.920177,-130.0,180.0,top,C8,,,CP_Elec_10x10,470uF,smt
127.920177,-130.0,180.0,top,C9,,,CP_Elec_10x10,470uF,smt
61.020177,-119.9,180.0,top,D1,,,D_SMB,SMBJ26A,smt
78.020177,-119.9,180.0,top,D2,,,D_SMB,SMBJ26A,smt
95.020177,-119.9,180.0,top,D3,,,D_SMB,SMBJ26A,smt
112.020177,-119.9,180.0,top,D4,,,D_SMB,SMBJ26A,smt
129.020177,-119.9,180.0,top,D5,,,D_SMB,SMBJ26A,smt
68.789823,-67.16,0.0,top,D6,,,D_SMB-SMC_Universal_Handsoldering,SMCJ26A,smt
132.2375,-76.765,0.0,top,D7,,,D_SOD-123,12V Zener,smt
56.625,-59.2025,0.0,top,F1,,,2410 Fuse,Fuse_0,tht
67.62,-116.8625,90.0,top,F2,,,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,Fuse_1,smt
81.44,-113.8875,90.0,top,F3,,,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,Fuse_2,smt
98.44,-113.8875,90.0,top,F4,,,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,Fuse_3,smt
115.44,-113.8875,90.0,top,F5,,,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,Fuse_4,smt
132.44,-113.8875,90.0,top,F6,,,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,Fuse_5,smt
56.4,-53.8,0.0,top,J1,,,Molex_Mini-Fit_Jr_5569-06A2_2x03_P4.20mm_Horizontal,Power_Input,tht
88.2,-41.970002,90.0,top,J17,,,PinHeader_1x03_P2.54mm_Vertical,Fan_1,tht
100.32,-41.970002,90.0,top,J18,,,PinHeader_1x03_P2.54mm_Vertical,Fan_2,tht
113.955,-40.970002,90.0,top,J19,,,PinSocket_1x02_P2.54mm_Vertical,Fan_V,tht
128.7325,-53.8,0.0,top,J2,,,Molex_Mini-Fit_Jr_5569-06A2_2x03_P4.20mm_Horizontal,Button_Input,tht
55.45,-101.5,90.0,top,J20,,,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,Sens,tht
77.095,-40.970002,90.0,top,J21,,,PinSocket_1x02_P2.54mm_Vertical,24V,tht
77.095,-52.7,90.0,top,J22,,,PinSocket_1x02_P2.54mm_Vertical,24V,tht
65.55,-106.71,-90.0,top,Q1,IRF9540NPBF,,TO-263-3_TabPin2,NCEP40PT15D,smt
55.730579,-90.346224,180.0,top,R1,,,R_1206_3216Metric,4.7k,smt
133.8575,-67.465,-90.0,top,R2,,,R_0603_1608Metric,47k,smt
133.8575,-72.28,-90.0,top,R3,,,R_0603_1608Metric,100,smt
133.1075,-80.5,180.0,top,R4,,,R_0603_1608Metric,100k,smt
