Designator,Mid X,Mid Y,Rotation,Layer
C1,65.55,-77.85,180.0,top
C10,61.020177,-138.106666,180.0,top
C11,78.020177,-138.106666,180.0,top
C12,95.020177,-138.106666,180.0,top
C13,112.020177,-138.106666,180.0,top
C14,129.020177,-138.106666,180.0,top
C15,61.595177,-141.693333,180.0,top
C16,78.595177,-141.693333,180.0,top
C17,95.595177,-141.693333,180.0,top
C18,112.595177,-141.693333,180.0,top
C19,129.595177,-141.693333,180.0,top
C2,65.56,-90.35,180.0,top
C3,55.35,-94.6,180.0,top
C4,132.9375,-63.4,180.0,top
C5,59.920177,-130.0,0.0,top
C6,76.920177,-130.0,0.0,top
C7,93.920177,-130.0,0.0,top
C8,110.920177,-130.0,0.0,top
C9,127.920177,-130.0,0.0,top
D1,61.020177,-119.9,180.0,top
D2,78.020177,-119.9,180.0,top
D3,95.020177,-119.9,180.0,top
D4,112.020177,-119.9,180.0,top
D5,129.020177,-119.9,180.0,top
D6,68.789823,-67.16,0.0,top
D7,132.2375,-76.765,0.0,top
F1,56.625,-67.1475,0.0,top
F2,67.62,-116.8625,90.0,top
F3,81.44,-113.8875,90.0,top
F4,98.44,-113.8875,90.0,top
F5,115.44,-113.8875,90.0,top
F6,132.44,-113.8875,90.0,top
J1,60.6,-53.075,0.0,top
J17,90.74,-41.970002,90.0,top
J18,102.86,-41.970002,90.0,top
J2,132.9325,-53.075,0.0,top
J20,55.45,-100.5,90.0,top
Q1,65.55,-106.71,270.0,top
R1,55.15,-90.35,180.0,top
R2,133.8575,-67.465,270.0,top
R3,133.8575,-72.28,270.0,top
R4,133.1075,-80.5,180.0,top
